county,town,precinct,office,district,party,candidate,votes
Addison,Addison,NA,Attorney General,NA,Republican,Dennis Carver,77
Orleans,Albany,NA,Attorney General,NA,Republican,Dennis Carver,46
Grand Isle,Alburgh,NA,Attorney General,NA,Republican,Dennis Carver,73
Windsor,Andover,NA,Attorney General,NA,Republican,Dennis Carver,23
Bennington,Arlington,NA,Attorney General,NA,Republican,Dennis Carver,74
Windham,Athens,NA,Attorney General,NA,Republican,Dennis Carver,7
Franklin,Bakersfield,NA,Attorney General,NA,Republican,Dennis Carver,42
Windsor,Baltimore,NA,Attorney General,NA,Republican,Dennis Carver,8
Windsor,Barnard,NA,Attorney General,NA,Republican,Dennis Carver,26
Caledonia,Barnet,NA,Attorney General,NA,Republican,Dennis Carver,77
Washington,Barre City,Washington 3-1,Attorney General,NA,Republican,Dennis Carver,181
Washington,Barre City,Washington 3-2,Attorney General,NA,Republican,Dennis Carver,143
Washington,Barre City,Washington 3-3,Attorney General,NA,Republican,Dennis Carver,20
Washington,Barre Town,NA,Attorney General,NA,Republican,Dennis Carver,441
Orleans,Barton,NA,Attorney General,NA,Republican,Dennis Carver,93
Lamoille,Belvidere,NA,Attorney General,NA,Republican,Dennis Carver,11
Bennington,Bennington,Bennington 2-1,Attorney General,NA,Republican,Dennis Carver,112
Bennington,Bennington,Bennington 2-1 Nb,Attorney General,NA,Republican,Dennis Carver,14
Bennington,Bennington,Bennington 2-2,Attorney General,NA,Republican,Dennis Carver,125
Bennington,Bennington,Bennington 5,Attorney General,NA,Republican,Dennis Carver,5
Rutland,Benson,NA,Attorney General,NA,Republican,Dennis Carver,21
Franklin,Berkshire,NA,Attorney General,NA,Republican,Dennis Carver,38
Washington,Berlin,NA,Attorney General,NA,Republican,Dennis Carver,100
Windsor,Bethel,NA,Attorney General,NA,Republican,Dennis Carver,60
Essex,Bloomfield,NA,Attorney General,NA,Republican,Dennis Carver,7
Chittenden,Bolton,NA,Attorney General,NA,Republican,Dennis Carver,34
Orange,Bradford,NA,Attorney General,NA,Republican,Dennis Carver,103
Orange,Braintree,NA,Attorney General,NA,Republican,Dennis Carver,39
Rutland,Brandon,NA,Attorney General,NA,Republican,Dennis Carver,130
Windham,Brattleboro,Windham 3-1,Attorney General,NA,Republican,Dennis Carver,40
Windham,Brattleboro,Windham 3-2,Attorney General,NA,Republican,Dennis Carver,42
Windham,Brattleboro,Windham 3-3,Attorney General,NA,Republican,Dennis Carver,36
Windsor,Bridgewater,NA,Attorney General,NA,Republican,Dennis Carver,30
Addison,Bridport,NA,Attorney General,NA,Republican,Dennis Carver,107
Essex,Brighton,NA,Attorney General,NA,Republican,Dennis Carver,67
Addison,Bristol,NA,Attorney General,NA,Republican,Dennis Carver,127
Orange,Brookfield,NA,Attorney General,NA,Republican,Dennis Carver,56
Windham,Brookline,NA,Attorney General,NA,Republican,Dennis Carver,9
Orleans,Brownington,NA,Attorney General,NA,Republican,Dennis Carver,24
Essex,Brunswick,NA,Attorney General,NA,Republican,Dennis Carver,10
Caledonia,Burke,NA,Attorney General,NA,Republican,Dennis Carver,61
Chittenden,Burlington,Chittenden 3-1,Attorney General,NA,Republican,Dennis Carver,292
Chittenden,Burlington,Chittenden 3-2,Attorney General,NA,Republican,Dennis Carver,121
Chittenden,Burlington,Chittenden 3-3,Attorney General,NA,Republican,Dennis Carver,69
Chittenden,Burlington,Chittenden 3-4,Attorney General,NA,Republican,Dennis Carver,45
Chittenden,Burlington,Chittenden 3-5,Attorney General,NA,Republican,Dennis Carver,189
Chittenden,Burlington,Chittenden 3-6,Attorney General,NA,Republican,Dennis Carver,15
Washington,Cabot,NA,Attorney General,NA,Republican,Dennis Carver,32
Washington,Calais,NA,Attorney General,NA,Republican,Dennis Carver,70
Lamoille,Cambridge,NA,Attorney General,NA,Republican,Dennis Carver,85
Essex,Canaan,NA,Attorney General,NA,Republican,Dennis Carver,33
Rutland,Castleton,NA,Attorney General,NA,Republican,Dennis Carver,91
Windsor,Cavendish,NA,Attorney General,NA,Republican,Dennis Carver,47
Orleans,Charleston,NA,Attorney General,NA,Republican,Dennis Carver,30
Chittenden,Charlotte,NA,Attorney General,NA,Republican,Dennis Carver,116
Orange,Chelsea,NA,Attorney General,NA,Republican,Dennis Carver,81
Windsor,Chester,NA,Attorney General,NA,Republican,Dennis Carver,81
Rutland,Chittenden,NA,Attorney General,NA,Republican,Dennis Carver,43
Rutland,Clarendon,NA,Attorney General,NA,Republican,Dennis Carver,62
Chittenden,Colchester,Chittenden 7-1,Attorney General,NA,Republican,Dennis Carver,187
Chittenden,Colchester,Chittenden 7-2,Attorney General,NA,Republican,Dennis Carver,295
Essex,Concord,NA,Attorney General,NA,Republican,Dennis Carver,34
Orange,Corinth,NA,Attorney General,NA,Republican,Dennis Carver,39
Addison,Cornwall,NA,Attorney General,NA,Republican,Dennis Carver,44
Orleans,Coventry,NA,Attorney General,NA,Republican,Dennis Carver,38
Orleans,Craftsbury,NA,Attorney General,NA,Republican,Dennis Carver,42
Rutland,Danby,NA,Attorney General,NA,Republican,Dennis Carver,78
Caledonia,Danville,NA,Attorney General,NA,Republican,Dennis Carver,140
Orleans,Derby,NA,Attorney General,NA,Republican,Dennis Carver,112
Bennington,Dorset,NA,Attorney General,NA,Republican,Dennis Carver,60
Windham,Dover,NA,Attorney General,NA,Republican,Dennis Carver,36
Windham,Dummerston,NA,Attorney General,NA,Republican,Dennis Carver,30
Washington,Duxbury,NA,Attorney General,NA,Republican,Dennis Carver,48
Essex,E. Haven,NA,Attorney General,NA,Republican,Dennis Carver,22
Washington,E. Montpelier,NA,Attorney General,NA,Republican,Dennis Carver,114
Lamoille,Eden,NA,Attorney General,NA,Republican,Dennis Carver,32
Lamoille,Elmore,NA,Attorney General,NA,Republican,Dennis Carver,25
Franklin,Enosburgh,NA,Attorney General,NA,Republican,Dennis Carver,56
Chittenden,Essex,Chittenden 6-1,Attorney General,NA,Republican,Dennis Carver,250
Chittenden,Essex,Chittenden 6-2,Attorney General,NA,Republican,Dennis Carver,251
Chittenden,Essex,Chittenden 6-3,Attorney General,NA,Republican,Dennis Carver,74
Rutland,Fair Haven,NA,Attorney General,NA,Republican,Dennis Carver,52
Franklin,Fairfax,NA,Attorney General,NA,Republican,Dennis Carver,101
Franklin,Fairfield,NA,Attorney General,NA,Republican,Dennis Carver,31
Orange,Fairlee,NA,Attorney General,NA,Republican,Dennis Carver,30
Washington,Fayston,NA,Attorney General,NA,Republican,Dennis Carver,29
Addison,Ferrisburgh,NA,Attorney General,NA,Republican,Dennis Carver,167
Franklin,Fletcher,NA,Attorney General,NA,Republican,Dennis Carver,32
Franklin,Franklin,NA,Attorney General,NA,Republican,Dennis Carver,57
Franklin,Georgia,NA,Attorney General,NA,Republican,Dennis Carver,135
Orleans,Glover,NA,Attorney General,NA,Republican,Dennis Carver,43
Addison,Goshen,NA,Attorney General,NA,Republican,Dennis Carver,6
Windham,Grafton,NA,Attorney General,NA,Republican,Dennis Carver,16
Essex,Granby,NA,Attorney General,NA,Republican,Dennis Carver,12
Grand Isle,Grand Isle,NA,Attorney General,NA,Republican,Dennis Carver,95
Addison,Granville,NA,Attorney General,NA,Republican,Dennis Carver,6
Orleans,Greensboro,NA,Attorney General,NA,Republican,Dennis Carver,33
Caledonia,Groton,NA,Attorney General,NA,Republican,Dennis Carver,54
Essex,Guildhall,NA,Attorney General,NA,Republican,Dennis Carver,23
Windham,Guilford,NA,Attorney General,NA,Republican,Dennis Carver,33
Windham,Halifax,NA,Attorney General,NA,Republican,Dennis Carver,21
Addison,Hancock,NA,Attorney General,NA,Republican,Dennis Carver,9
Caledonia,Hardwick,NA,Attorney General,NA,Republican,Dennis Carver,82
Windsor,Hartford,Windsor 6-1,Attorney General,NA,Republican,Dennis Carver,29
Windsor,Hartford,Windsor 6-2,Attorney General,NA,Republican,Dennis Carver,87
Windsor,Hartland,NA,Attorney General,NA,Republican,Dennis Carver,77
Franklin,Highgate,NA,Attorney General,NA,Republican,Dennis Carver,54
Chittenden,Hinesburg,Chittenden 1-1,Attorney General,NA,Republican,Dennis Carver,81
Chittenden,Hinesburg,Chittenden 1-2,Attorney General,NA,Republican,Dennis Carver,4
Orleans,Holland,NA,Attorney General,NA,Republican,Dennis Carver,21
Rutland,Hubbardton,NA,Attorney General,NA,Republican,Dennis Carver,18
Chittenden,Huntington,NA,Attorney General,NA,Republican,Dennis Carver,49
Lamoille,Hyde Park,NA,Attorney General,NA,Republican,Dennis Carver,97
Rutland,Ira,Rutland Rutland 1-1,Attorney General,NA,Republican,Dennis Carver,1
Rutland,Ira,Rutland Rutland 1-2,Attorney General,NA,Republican,Dennis Carver,11
