county,town,precinct,office,district,party,candidate,votes
Addison,Addison,NA,Governor,NA,Republican,Jim Douglas,148
Orleans,Albany,NA,Governor,NA,Republican,Jim Douglas,71
Grand Isle,Alburgh,NA,Governor,NA,Republican,Jim Douglas,140
Windsor,Andover,NA,Governor,NA,Republican,Jim Douglas,42
Bennington,Arlington,NA,Governor,NA,Republican,Jim Douglas,139
Windham,Athens,NA,Governor,NA,Republican,Jim Douglas,13
Franklin,Bakersfield,NA,Governor,NA,Republican,Jim Douglas,60
Windsor,Baltimore,NA,Governor,NA,Republican,Jim Douglas,15
Windsor,Barnard,NA,Governor,NA,Republican,Jim Douglas,58
Caledonia,Barnet,NA,Governor,NA,Republican,Jim Douglas,127
Washington,Barre City,Washington 3-1,Governor,NA,Republican,Jim Douglas,309
Washington,Barre City,Washington 3-2,Governor,NA,Republican,Jim Douglas,246
Washington,Barre City,Washington 3-3,Governor,NA,Republican,Jim Douglas,37
Washington,Barre Town,NA,Governor,NA,Republican,Jim Douglas,748
Orleans,Barton,NA,Governor,NA,Republican,Jim Douglas,178
Lamoille,Belvidere,NA,Governor,NA,Republican,Jim Douglas,24
Bennington,Bennington,Bennington 2-1,Governor,NA,Republican,Jim Douglas,250
Bennington,Bennington,Bennington 2-1 Nb,Governor,NA,Republican,Jim Douglas,39
Bennington,Bennington,Bennington 2-2,Governor,NA,Republican,Jim Douglas,270
Bennington,Bennington,Bennington 5,Governor,NA,Republican,Jim Douglas,11
Rutland,Benson,NA,Governor,NA,Republican,Jim Douglas,43
Franklin,Berkshire,NA,Governor,NA,Republican,Jim Douglas,67
Washington,Berlin,NA,Governor,NA,Republican,Jim Douglas,190
Windsor,Bethel,NA,Governor,NA,Republican,Jim Douglas,103
Essex,Bloomfield,NA,Governor,NA,Republican,Jim Douglas,9
Chittenden,Bolton,NA,Governor,NA,Republican,Jim Douglas,68
Orange,Bradford,NA,Governor,NA,Republican,Jim Douglas,175
Orange,Braintree,NA,Governor,NA,Republican,Jim Douglas,87
Rutland,Brandon,NA,Governor,NA,Republican,Jim Douglas,310
Windham,Brattleboro,Windham 3-1,Governor,NA,Republican,Jim Douglas,110
Windham,Brattleboro,Windham 3-2,Governor,NA,Republican,Jim Douglas,78
Windham,Brattleboro,Windham 3-3,Governor,NA,Republican,Jim Douglas,72
Windsor,Bridgewater,NA,Governor,NA,Republican,Jim Douglas,63
Addison,Bridport,NA,Governor,NA,Republican,Jim Douglas,159
Essex,Brighton,NA,Governor,NA,Republican,Jim Douglas,131
Addison,Bristol,NA,Governor,NA,Republican,Jim Douglas,223
Orange,Brookfield,NA,Governor,NA,Republican,Jim Douglas,99
Windham,Brookline,NA,Governor,NA,Republican,Jim Douglas,20
Orleans,Brownington,NA,Governor,NA,Republican,Jim Douglas,37
Essex,Brunswick,NA,Governor,NA,Republican,Jim Douglas,12
