county,town,precinct,office,district,party,candidate,votes
Addison,Addison,NA,Attorney General,NA,Democratic,William H. Sorrell,438
Orleans,Albany,NA,Attorney General,NA,Democratic,William H. Sorrell,269
Grand Isle,Alburgh,NA,Attorney General,NA,Democratic,William H. Sorrell,547
Windsor,Andover,NA,Attorney General,NA,Democratic,William H. Sorrell,134
Bennington,Arlington,NA,Attorney General,NA,Democratic,William H. Sorrell,585
Windham,Athens,NA,Attorney General,NA,Democratic,William H. Sorrell,56
Franklin,Bakersfield,NA,Attorney General,NA,Democratic,William H. Sorrell,368
Windsor,Baltimore,NA,Attorney General,NA,Democratic,William H. Sorrell,41
Windsor,Barnard,NA,Attorney General,NA,Democratic,William H. Sorrell,323
Caledonia,Barnet,NA,Attorney General,NA,Democratic,William H. Sorrell,461
Washington,Barre City,Washington 3-1,Attorney General,NA,Democratic,William H. Sorrell,"1,092"
Washington,Barre City,Washington 3-2,Attorney General,NA,Democratic,William H. Sorrell,888
Washington,Barre City,Washington 3-3,Attorney General,NA,Democratic,William H. Sorrell,153
Washington,Barre Town,NA,Attorney General,NA,Democratic,William H. Sorrell,"2,175"
Orleans,Barton,NA,Attorney General,NA,Democratic,William H. Sorrell,674
Lamoille,Belvidere,NA,Attorney General,NA,Democratic,William H. Sorrell,76
Bennington,Bennington,Bennington 2-1,Attorney General,NA,Democratic,William H. Sorrell,"1,222"
Bennington,Bennington,Bennington 2-1 Nb,Attorney General,NA,Democratic,William H. Sorrell,337
Bennington,Bennington,Bennington 2-2,Attorney General,NA,Democratic,William H. Sorrell,"1,513"
Bennington,Bennington,Bennington 5,Attorney General,NA,Democratic,William H. Sorrell,15
Rutland,Benson,NA,Attorney General,NA,Democratic,William H. Sorrell,241
Franklin,Berkshire,NA,Attorney General,NA,Democratic,William H. Sorrell,377
Washington,Berlin,NA,Attorney General,NA,Democratic,William H. Sorrell,746
Windsor,Bethel,NA,Attorney General,NA,Democratic,William H. Sorrell,553
Essex,Bloomfield,NA,Attorney General,NA,Democratic,William H. Sorrell,45
Chittenden,Bolton,NA,Attorney General,NA,Democratic,William H. Sorrell,380
Orange,Bradford,NA,Attorney General,NA,Democratic,William H. Sorrell,563
Orange,Braintree,NA,Attorney General,NA,Democratic,William H. Sorrell,340
Rutland,Brandon,NA,Attorney General,NA,Democratic,William H. Sorrell,"1,105"
Windham,Brattleboro,Windham 3-1,Attorney General,NA,Democratic,William H. Sorrell,"1,274"
Windham,Brattleboro,Windham 3-2,Attorney General,NA,Democratic,William H. Sorrell,"1,048"
Windham,Brattleboro,Windham 3-3,Attorney General,NA,Democratic,William H. Sorrell,"1,089"
Windsor,Bridgewater,NA,Attorney General,NA,Democratic,William H. Sorrell,240
Addison,Bridport,NA,Attorney General,NA,Democratic,William H. Sorrell,376
Essex,Brighton,NA,Attorney General,NA,Democratic,William H. Sorrell,317
Addison,Bristol,NA,Attorney General,NA,Democratic,William H. Sorrell,"1,184"
Orange,Brookfield,NA,Attorney General,NA,Democratic,William H. Sorrell,412
Windham,Brookline,NA,Attorney General,NA,Democratic,William H. Sorrell,144
Orleans,Brownington,NA,Attorney General,NA,Democratic,William H. Sorrell,180
Essex,Brunswick,NA,Attorney General,NA,Democratic,William H. Sorrell,22
Caledonia,Burke,NA,Attorney General,NA,Democratic,William H. Sorrell,401
Chittenden,Burlington,Chittenden 3-1,Attorney General,NA,Democratic,William H. Sorrell,"2,650"
Chittenden,Burlington,Chittenden 3-2,Attorney General,NA,Democratic,William H. Sorrell,"1,449"
Chittenden,Burlington,Chittenden 3-3,Attorney General,NA,Democratic,William H. Sorrell,"2,381"
Chittenden,Burlington,Chittenden 3-4,Attorney General,NA,Democratic,William H. Sorrell,"1,648"
Chittenden,Burlington,Chittenden 3-5,Attorney General,NA,Democratic,William H. Sorrell,"3,213"
Chittenden,Burlington,Chittenden 3-6,Attorney General,NA,Democratic,William H. Sorrell,432
Washington,Cabot,NA,Attorney General,NA,Democratic,William H. Sorrell,425
Washington,Calais,NA,Attorney General,NA,Democratic,William H. Sorrell,645
Lamoille,Cambridge,NA,Attorney General,NA,Democratic,William H. Sorrell,"1,088"
Essex,Canaan,NA,Attorney General,NA,Democratic,William H. Sorrell,214
Rutland,Castleton,NA,Attorney General,NA,Democratic,William H. Sorrell,829
Windsor,Cavendish,NA,Attorney General,NA,Democratic,William H. Sorrell,304
Orleans,Charleston,NA,Attorney General,NA,Democratic,William H. Sorrell,237
Chittenden,Charlotte,NA,Attorney General,NA,Democratic,William H. Sorrell,"1,519"
Orange,Chelsea,NA,Attorney General,NA,Democratic,William H. Sorrell,348
Windsor,Chester,NA,Attorney General,NA,Democratic,William H. Sorrell,874
Rutland,Chittenden,NA,Attorney General,NA,Democratic,William H. Sorrell,325
Rutland,Clarendon,NA,Attorney General,NA,Democratic,William H. Sorrell,575
Chittenden,Colchester,Chittenden 7-1,Attorney General,NA,Democratic,William H. Sorrell,"2,085"
Chittenden,Colchester,Chittenden 7-2,Attorney General,NA,Democratic,William H. Sorrell,"2,541"
Essex,Concord,NA,Attorney General,NA,Democratic,William H. Sorrell,297
Orange,Corinth,NA,Attorney General,NA,Democratic,William H. Sorrell,333
Addison,Cornwall,NA,Attorney General,NA,Democratic,William H. Sorrell,478
Orleans,Coventry,NA,Attorney General,NA,Democratic,William H. Sorrell,232
Orleans,Craftsbury,NA,Attorney General,NA,Democratic,William H. Sorrell,426
Rutland,Danby,NA,Attorney General,NA,Democratic,William H. Sorrell,328
Caledonia,Danville,NA,Attorney General,NA,Democratic,William H. Sorrell,650
Orleans,Derby,NA,Attorney General,NA,Democratic,William H. Sorrell,"1,150"
Bennington,Dorset,NA,Attorney General,NA,Democratic,William H. Sorrell,561
Windham,Dover,NA,Attorney General,NA,Democratic,William H. Sorrell,267
Windham,Dummerston,NA,Attorney General,NA,Democratic,William H. Sorrell,680
Washington,Duxbury,NA,Attorney General,NA,Democratic,William H. Sorrell,463
Essex,E. Haven,NA,Attorney General,NA,Democratic,William H. Sorrell,73
Washington,E. Montpelier,NA,Attorney General,NA,Democratic,William H. Sorrell,"1,006"
Lamoille,Eden,NA,Attorney General,NA,Democratic,William H. Sorrell,237
Lamoille,Elmore,NA,Attorney General,NA,Democratic,William H. Sorrell,312
Franklin,Enosburgh,NA,Attorney General,NA,Democratic,William H. Sorrell,664
Chittenden,Essex,Chittenden 6-1,Attorney General,NA,Democratic,William H. Sorrell,"2,510"
Chittenden,Essex,Chittenden 6-2,Attorney General,NA,Democratic,William H. Sorrell,"2,804"
Chittenden,Essex,Chittenden 6-3,Attorney General,NA,Democratic,William H. Sorrell,830
Rutland,Fair Haven,NA,Attorney General,NA,Democratic,William H. Sorrell,570
Franklin,Fairfax,NA,Attorney General,NA,Democratic,William H. Sorrell,"1,159"
Franklin,Fairfield,NA,Attorney General,NA,Democratic,William H. Sorrell,621
Orange,Fairlee,NA,Attorney General,NA,Democratic,William H. Sorrell,279
