county,town,precinct,office,district,party,candidate,votes
Addison,Addison,NA,President,NA,Republican,John McCain,111
Orleans,Albany,NA,President,NA,Republican,John McCain,38
Grand Isle,Alburgh,NA,President,NA,Republican,John McCain,114
Windsor,Andover,NA,President,NA,Republican,John McCain,36
Bennington,Arlington,NA,President,NA,Republican,John McCain,137
Windham,Athens,NA,President,NA,Republican,John McCain,18
Franklin,Bakersfield,NA,President,NA,Republican,John McCain,42
Windsor,Baltimore,NA,President,NA,Republican,John McCain,11
Windsor,Barnard,NA,President,NA,Republican,John McCain,57
Caledonia,Barnet,NA,President,NA,Republican,John McCain,73
Washington,Barre City,NA,President,NA,Republican,John McCain,402
Washington,Barre Town,NA,President,NA,Republican,John McCain,557
Orleans,Barton,NA,President,NA,Republican,John McCain,115
Lamoille,Belvidere,NA,President,NA,Republican,John McCain,13
Bennington,Bennington,1,President,NA,Republican,John McCain,29
Bennington,Bennington,Bennington 2-1 And 2-2,President,NA,Republican,John McCain,452
Rutland,Benson,NA,President,NA,Republican,John McCain,67
Franklin,Berkshire,NA,President,NA,Republican,John McCain,79
Washington,Berlin,NA,President,NA,Republican,John McCain,123
Windsor,Bethel,NA,President,NA,Republican,John McCain,43
Essex,Bloomfield,NA,President,NA,Republican,John McCain,15
Chittenden,Bolton,NA,President,NA,Republican,John McCain,65
Orange,Bradford,NA,President,NA,Republican,John McCain,97
Orange,Braintree,NA,President,NA,Republican,John McCain,48
Rutland,Brandon,NA,President,NA,Republican,John McCain,228
Windham,Brattleboro,NA,President,NA,Republican,John McCain,446
Windsor,Bridgewater,NA,President,NA,Republican,John McCain,47
Addison,Bridport,NA,President,NA,Republican,John McCain,85
Essex,Brighton,NA,President,NA,Republican,John McCain,126
Addison,Bristol,NA,President,NA,Republican,John McCain,180
Orange,Brookfield,NA,President,NA,Republican,John McCain,61
Windham,Brookline,NA,President,NA,Republican,John McCain,26
Orleans,Brownington,NA,President,NA,Republican,John McCain,20
Essex,Brunswick,NA,President,NA,Republican,John McCain,4
Caledonia,Burke,NA,President,NA,Republican,John McCain,107
Chittenden,Burlington,Chittenden Ward 1,President,NA,Republican,John McCain,69
Chittenden,Burlington,Chittenden Ward 2,President,NA,Republican,John McCain,42
Chittenden,Burlington,Chittenden Ward 3,President,NA,Republican,John McCain,53
Chittenden,Burlington,Chittenden Ward 4,President,NA,Republican,John McCain,264
Chittenden,Burlington,Chittenden Ward 5,President,NA,Republican,John McCain,156
Chittenden,Burlington,Chittenden Ward 6,President,NA,Republican,John McCain,131
Chittenden,Burlington,Chittenden Ward 7,President,NA,Republican,John McCain,264
Washington,Cabot,NA,President,NA,Republican,John McCain,75
Washington,Calais,NA,President,NA,Republican,John McCain,72
Lamoille,Cambridge,NA,President,NA,Republican,John McCain,177
Essex,Canaan,NA,President,NA,Republican,John McCain,77
Rutland,Castleton,NA,President,NA,Republican,John McCain,262
Windsor,Cavendish,NA,President,NA,Republican,John McCain,56
Orleans,Charleston,NA,President,NA,Republican,John McCain,38
Chittenden,Charlotte,NA,President,NA,Republican,John McCain,183
Orange,Chelsea,NA,President,NA,Republican,John McCain,70
Windsor,Chester,NA,President,NA,Republican,John McCain,174
Rutland,Chittenden,NA,President,NA,Republican,John McCain,96
Rutland,Clarendon,NA,President,NA,Republican,John McCain,169
Chittenden,Colchester,Chittenden 7-1,President,NA,Republican,John McCain,288
Chittenden,Colchester,Chittenden 7-2,President,NA,Republican,John McCain,454
Essex,Concord,NA,President,NA,Republican,John McCain,87
Orange,Corinth,NA,President,NA,Republican,John McCain,71
