county,town,precinct,office,district,party,candidate,votes
Addison,Addison,NA,U.S. House,NA,Democratic,Peter Welch,33
Orleans,Albany,NA,U.S. House,NA,Democratic,Peter Welch,20
Grand Isle,Alburgh,NA,U.S. House,NA,Democratic,Peter Welch,37
Windsor,Andover,NA,U.S. House,NA,Democratic,Peter Welch,19
Bennington,Arlington,NA,U.S. House,NA,Democratic,Peter Welch,72
Windham,Athens,NA,U.S. House,NA,Democratic,Peter Welch,7
Franklin,Bakersfield,NA,U.S. House,NA,Democratic,Peter Welch,35
Windsor,Baltimore,NA,U.S. House,NA,Democratic,Peter Welch,15
Windsor,Barnard,NA,U.S. House,NA,Democratic,Peter Welch,31
Caledonia,Barnet,NA,U.S. House,NA,Democratic,Peter Welch,34
Washington,Barre City,Washington 3-1,U.S. House,NA,Democratic,Peter Welch,72
Washington,Barre City,Washington 3-2,U.S. House,NA,Democratic,Peter Welch,43
Washington,Barre City,Washington 3-3,U.S. House,NA,Democratic,Peter Welch,13
Washington,Barre Town,NA,U.S. House,NA,Democratic,Peter Welch,136
Orleans,Barton,NA,U.S. House,NA,Democratic,Peter Welch,44
Lamoille,Belvidere,NA,U.S. House,NA,Democratic,Peter Welch,6
Bennington,Bennington,Bennington 2-1,U.S. House,NA,Democratic,Peter Welch,130
Bennington,Bennington,Bennington 2-2,U.S. House,NA,Democratic,Peter Welch,99
Bennington,Bennington,Bennington 5,U.S. House,NA,Democratic,Peter Welch,3
Rutland,Benson,NA,U.S. House,NA,Democratic,Peter Welch,25
Franklin,Berkshire,NA,U.S. House,NA,Democratic,Peter Welch,39
Washington,Berlin,NA,U.S. House,NA,Democratic,Peter Welch,58
Windsor,Bethel,NA,U.S. House,NA,Democratic,Peter Welch,73
Essex,Bloomfield,NA,U.S. House,NA,Democratic,Peter Welch,14
Chittenden,Bolton,NA,U.S. House,NA,Democratic,Peter Welch,50
Orange,Bradford,NA,U.S. House,NA,Democratic,Peter Welch,73
Orange,Braintree,NA,U.S. House,NA,Democratic,Peter Welch,32
Rutland,Brandon,NA,U.S. House,NA,Democratic,Peter Welch,82
Windham,Brattleboro,Windham 3-1,U.S. House,NA,Democratic,Peter Welch,127
Windham,Brattleboro,Windham 3-2,U.S. House,NA,Democratic,Peter Welch,138
Windham,Brattleboro,Windham 3-3,U.S. House,NA,Democratic,Peter Welch,122
Windsor,Bridgewater,NA,U.S. House,NA,Democratic,Peter Welch,24
Addison,Bridport,NA,U.S. House,NA,Democratic,Peter Welch,26
Essex,Brighton,NA,U.S. House,NA,Democratic,Peter Welch,8
Addison,Bristol,NA,U.S. House,NA,Democratic,Peter Welch,84
Orange,Brookfield,NA,U.S. House,NA,Democratic,Peter Welch,30
Windham,Brookline,NA,U.S. House,NA,Democratic,Peter Welch,19
Orleans,Brownington,NA,U.S. House,NA,Democratic,Peter Welch,7
Essex,Brunswick,NA,U.S. House,NA,Democratic,Peter Welch,2
Caledonia,Burke,NA,U.S. House,NA,Democratic,Peter Welch,24
Chittenden,Burlington,Chittenden 3-1,U.S. House,NA,Democratic,Peter Welch,427
Chittenden,Burlington,Chittenden 3-2,U.S. House,NA,Democratic,Peter Welch,209
Chittenden,Burlington,Chittenden 3-3,U.S. House,NA,Democratic,Peter Welch,270
Chittenden,Burlington,Chittenden 3-4,U.S. House,NA,Democratic,Peter Welch,208
Chittenden,Burlington,Chittenden 3-5,U.S. House,NA,Democratic,Peter Welch,879
Chittenden,Burlington,Chittenden 3-6,U.S. House,NA,Democratic,Peter Welch,60
Washington,Cabot,NA,U.S. House,NA,Democratic,Peter Welch,53
Washington,Calais,NA,U.S. House,NA,Democratic,Peter Welch,70
Lamoille,Cambridge,NA,U.S. House,NA,Democratic,Peter Welch,50
Essex,Canaan,NA,U.S. House,NA,Democratic,Peter Welch,11
Rutland,Castleton,NA,U.S. House,NA,Democratic,Peter Welch,36
Windsor,Cavendish,NA,U.S. House,NA,Democratic,Peter Welch,36
Orleans,Charleston,NA,U.S. House,NA,Democratic,Peter Welch,19
Chittenden,Charlotte,NA,U.S. House,NA,Democratic,Peter Welch,132
Orange,Chelsea,NA,U.S. House,NA,Democratic,Peter Welch,27
Windsor,Chester,NA,U.S. House,NA,Democratic,Peter Welch,145
Rutland,Chittenden,NA,U.S. House,NA,Democratic,Peter Welch,35
Rutland,Clarendon,NA,U.S. House,NA,Democratic,Peter Welch,89
Chittenden,Colchester,Chittenden 7-1,U.S. House,NA,Democratic,Peter Welch,85
Chittenden,Colchester,Chittenden 7-2,U.S. House,NA,Democratic,Peter Welch,75
Essex,Concord,NA,U.S. House,NA,Democratic,Peter Welch,32
Orange,Corinth,NA,U.S. House,NA,Democratic,Peter Welch,59
Addison,Cornwall,NA,U.S. House,NA,Democratic,Peter Welch,66
Orleans,Coventry,NA,U.S. House,NA,Democratic,Peter Welch,13
Orleans,Craftsbury,NA,U.S. House,NA,Democratic,Peter Welch,47
Rutland,Danby,NA,U.S. House,NA,Democratic,Peter Welch,62
Caledonia,Danville,NA,U.S. House,NA,Democratic,Peter Welch,172
Orleans,Derby,NA,U.S. House,NA,Democratic,Peter Welch,68
Bennington,Dorset,NA,U.S. House,NA,Democratic,Peter Welch,61
Windham,Dover,NA,U.S. House,NA,Democratic,Peter Welch,31
Windham,Dummerston,NA,U.S. House,NA,Democratic,Peter Welch,264
Washington,Duxbury,NA,U.S. House,NA,Democratic,Peter Welch,66
Essex,E. Haven,NA,U.S. House,NA,Democratic,Peter Welch,4
Washington,E. Montpelier,NA,U.S. House,NA,Democratic,Peter Welch,86
Lamoille,Eden,NA,U.S. House,NA,Democratic,Peter Welch,11
Lamoille,Elmore,NA,U.S. House,NA,Democratic,Peter Welch,37
Franklin,Enosburgh,NA,U.S. House,NA,Democratic,Peter Welch,59
Chittenden,Essex,Chittenden 6-1,U.S. House,NA,Democratic,Peter Welch,110
Chittenden,Essex,Chittenden 6-2,U.S. House,NA,Democratic,Peter Welch,129
Chittenden,Essex,Chittenden 6-3,U.S. House,NA,Democratic,Peter Welch,39
Rutland,Fair Haven,NA,U.S. House,NA,Democratic,Peter Welch,13
Franklin,Fairfax,NA,U.S. House,NA,Democratic,Peter Welch,80
Franklin,Fairfield,NA,U.S. House,NA,Democratic,Peter Welch,115
Orange,Fairlee,NA,U.S. House,NA,Democratic,Peter Welch,32
Washington,Fayston,NA,U.S. House,NA,Democratic,Peter Welch,28
Addison,Ferrisburgh,NA,U.S. House,NA,Democratic,Peter Welch,69
Franklin,Fletcher,NA,U.S. House,NA,Democratic,Peter Welch,27
Franklin,Franklin,NA,U.S. House,NA,Democratic,Peter Welch,31
Franklin,Georgia,NA,U.S. House,NA,Democratic,Peter Welch,64
Orleans,Glover,NA,U.S. House,NA,Democratic,Peter Welch,39
Addison,Goshen,NA,U.S. House,NA,Democratic,Peter Welch,17
Windham,Grafton,NA,U.S. House,NA,Democratic,Peter Welch,16
Essex,Granby,NA,U.S. House,NA,Democratic,Peter Welch,3
Grand Isle,Grand Isle,NA,U.S. House,NA,Democratic,Peter Welch,58
Addison,Granville,NA,U.S. House,NA,Democratic,Peter Welch,7
Orleans,Greensboro,NA,U.S. House,NA,Democratic,Peter Welch,39
Caledonia,Groton,NA,U.S. House,NA,Democratic,Peter Welch,25
Essex,Guildhall,NA,U.S. House,NA,Democratic,Peter Welch,10
Windham,Guilford,NA,U.S. House,NA,Democratic,Peter Welch,56
Windham,Halifax,NA,U.S. House,NA,Democratic,Peter Welch,12
Addison,Hancock,NA,U.S. House,NA,Democratic,Peter Welch,7
Caledonia,Hardwick,NA,U.S. House,NA,Democratic,Peter Welch,45
Windsor,Hartford,Windsor 6-1,U.S. House,NA,Democratic,Peter Welch,25
Windsor,Hartford,Windsor 6-2,U.S. House,NA,Democratic,Peter Welch,113
Windsor,Hartland,NA,U.S. House,NA,Democratic,Peter Welch,168
Franklin,Highgate,NA,U.S. House,NA,Democratic,Peter Welch,48
Chittenden,Hinesburg,Chittenden 1-1,U.S. House,NA,Democratic,Peter Welch,139
Chittenden,Hinesburg,Chittenden 1-2,U.S. House,NA,Democratic,Peter Welch,3
Orleans,Holland,NA,U.S. House,NA,Democratic,Peter Welch,7
Rutland,Hubbardton,NA,U.S. House,NA,Democratic,Peter Welch,12
Chittenden,Huntington,NA,U.S. House,NA,Democratic,Peter Welch,152
Lamoille,Hyde Park,NA,U.S. House,NA,Democratic,Peter Welch,33
Rutland,Ira,Rutland Rutland 1-1,U.S. House,NA,Democratic,Peter Welch,0
Rutland,Ira,Rutland Rutland 1-2,U.S. House,NA,Democratic,Peter Welch,13
Orleans,Irasburg,NA,U.S. House,NA,Democratic,Peter Welch,14
Grand Isle,Isle La Motte,NA,U.S. House,NA,Democratic,Peter Welch,22
Windham,Jamaica,NA,U.S. House,NA,Democratic,Peter Welch,29
Orleans,Jay,NA,U.S. House,NA,Democratic,Peter Welch,6
Chittenden,Jericho,NA,U.S. House,NA,Democratic,Peter Welch,174
Lamoille,Johnson,NA,U.S. House,NA,Democratic,Peter Welch,38
Rutland,Killington,NA,U.S. House,NA,Democratic,Peter Welch,21
Caledonia,Kirby,NA,U.S. House,NA,Democratic,Peter Welch,4
Bennington,Landgrove,NA,U.S. House,NA,Democratic,Peter Welch,9
Addison,Leicester,NA,U.S. House,NA,Democratic,Peter Welch,38
Addison,Lincoln,NA,U.S. House,NA,Democratic,Peter Welch,74
Windham,Londonderry,NA,U.S. House,NA,Democratic,Peter Welch,23
Orleans,Lowell,NA,U.S. House,NA,Democratic,Peter Welch,16
Windsor,Ludlow,NA,U.S. House,NA,Democratic,Peter Welch,54
Essex,Lunenburg,NA,U.S. House,NA,Democratic,Peter Welch,16
