county,town,precinct,office,district,party,candidate,votes
Addison,Addison,NA,Secretary of State,NA,Democratic,Deb Markowitz,462
Orleans,Albany,NA,Secretary of State,NA,Democratic,Deb Markowitz,319
Grand Isle,Alburgh,NA,Secretary of State,NA,Democratic,Deb Markowitz,634
Windsor,Andover,NA,Secretary of State,NA,Democratic,Deb Markowitz,174
Bennington,Arlington,NA,Secretary of State,NA,Democratic,Deb Markowitz,873
Windham,Athens,NA,Secretary of State,NA,Democratic,Deb Markowitz,92
Franklin,Bakersfield,NA,Secretary of State,NA,Democratic,Deb Markowitz,435
Windsor,Baltimore,NA,Secretary of State,NA,Democratic,Deb Markowitz,69
Windsor,Barnard,NA,Secretary of State,NA,Democratic,Deb Markowitz,350
Caledonia,Barnet,NA,Secretary of State,NA,Democratic,Deb Markowitz,561
Washington,Barre City,Washington 3-1,Secretary of State,NA,Democratic,Deb Markowitz,"1,231"
Washington,Barre City,Washington 3-2,Secretary of State,NA,Democratic,Deb Markowitz,"1,051"
Washington,Barre City,Washington 3-3,Secretary of State,NA,Democratic,Deb Markowitz,202
Washington,Barre Town,NA,Secretary of State,NA,Democratic,Deb Markowitz,"2,845"
Orleans,Barton,NA,Secretary of State,NA,Democratic,Deb Markowitz,848
Lamoille,Belvidere,NA,Secretary of State,NA,Democratic,Deb Markowitz,94
Bennington,Bennington,Bennington 2-1,Secretary of State,NA,Democratic,Deb Markowitz,"2,301"
Bennington,Bennington,Bennington 2-2,Secretary of State,NA,Democratic,Deb Markowitz,"2,214"
Bennington,Bennington,Bennington 5,Secretary of State,NA,Democratic,Deb Markowitz,29
Rutland,Benson,NA,Secretary of State,NA,Democratic,Deb Markowitz,328
Franklin,Berkshire,NA,Secretary of State,NA,Democratic,Deb Markowitz,416
Washington,Berlin,NA,Secretary of State,NA,Democratic,Deb Markowitz,951
Windsor,Bethel,NA,Secretary of State,NA,Democratic,Deb Markowitz,692
Essex,Bloomfield,NA,Secretary of State,NA,Democratic,Deb Markowitz,58
Chittenden,Bolton,NA,Secretary of State,NA,Democratic,Deb Markowitz,453
Orange,Bradford,NA,Secretary of State,NA,Democratic,Deb Markowitz,798
Orange,Braintree,NA,Secretary of State,NA,Democratic,Deb Markowitz,415
Rutland,Brandon,NA,Secretary of State,NA,Democratic,Deb Markowitz,"1,400"
Windham,Brattleboro,Windham 3-1,Secretary of State,NA,Democratic,Deb Markowitz,"1,692"
Windham,Brattleboro,Windham 3-2,Secretary of State,NA,Democratic,Deb Markowitz,"1,434"
Windham,Brattleboro,Windham 3-3,Secretary of State,NA,Democratic,Deb Markowitz,"1,390"
Windsor,Bridgewater,NA,Secretary of State,NA,Democratic,Deb Markowitz,313
Addison,Bridport,NA,Secretary of State,NA,Democratic,Deb Markowitz,429
Essex,Brighton,NA,Secretary of State,NA,Democratic,Deb Markowitz,361
Addison,Bristol,NA,Secretary of State,NA,Democratic,Deb Markowitz,"1,418"
Orange,Brookfield,NA,Secretary of State,NA,Democratic,Deb Markowitz,477
Windham,Brookline,NA,Secretary of State,NA,Democratic,Deb Markowitz,190
Orleans,Brownington,NA,Secretary of State,NA,Democratic,Deb Markowitz,247
Essex,Brunswick,NA,Secretary of State,NA,Democratic,Deb Markowitz,39
Caledonia,Burke,NA,Secretary of State,NA,Democratic,Deb Markowitz,489
