county,town,precinct,office,district,party,candidate,votes
Addison,Addison,NA,Secretary of State,NA,Republican,Jason Gibbs,64
Orleans,Albany,NA,Secretary of State,NA,Republican,Jason Gibbs,43
Grand Isle,Alburgh,NA,Secretary of State,NA,Republican,Jason Gibbs,41
Windsor,Andover,NA,Secretary of State,NA,Republican,Jason Gibbs,18
Bennington,Arlington,NA,Secretary of State,NA,Republican,Jason Gibbs,46
Windham,Athens,NA,Secretary of State,NA,Republican,Jason Gibbs,8
Franklin,Bakersfield,NA,Secretary of State,NA,Republican,Jason Gibbs,26
Windsor,Baltimore,NA,Secretary of State,NA,Republican,Jason Gibbs,8
Windsor,Barnard,NA,Secretary of State,NA,Republican,Jason Gibbs,24
Caledonia,Barnet,NA,Secretary of State,NA,Republican,Jason Gibbs,73
Washington,Barre City,Washington 3-1,Secretary of State,NA,Republican,Jason Gibbs,121
Washington,Barre City,Washington 3-2,Secretary of State,NA,Republican,Jason Gibbs,101
Washington,Barre City,Washington 3-3,Secretary of State,NA,Republican,Jason Gibbs,12
Washington,Barre Town,NA,Secretary of State,NA,Republican,Jason Gibbs,363
Orleans,Barton,NA,Secretary of State,NA,Republican,Jason Gibbs,77
Lamoille,Belvidere,NA,Secretary of State,NA,Republican,Jason Gibbs,9
Bennington,Bennington,Bennington 2-1,Secretary of State,NA,Republican,Jason Gibbs,63
Bennington,Bennington,Bennington 2-2,Secretary of State,NA,Republican,Jason Gibbs,88
Rutland,Benson,NA,Secretary of State,NA,Republican,Jason Gibbs,28
Franklin,Berkshire,NA,Secretary of State,NA,Republican,Jason Gibbs,32
Washington,Berlin,NA,Secretary of State,NA,Republican,Jason Gibbs,93
Windsor,Bethel,NA,Secretary of State,NA,Republican,Jason Gibbs,49
Essex,Bloomfield,NA,Secretary of State,NA,Republican,Jason Gibbs,10
Chittenden,Bolton,NA,Secretary of State,NA,Republican,Jason Gibbs,39
Orange,Bradford,NA,Secretary of State,NA,Republican,Jason Gibbs,89
Orange,Braintree,NA,Secretary of State,NA,Republican,Jason Gibbs,59
Rutland,Brandon,NA,Secretary of State,NA,Republican,Jason Gibbs,146
Windham,Brattleboro,Windham 3-1,Secretary of State,NA,Republican,Jason Gibbs,56
Windham,Brattleboro,Windham 3-2,Secretary of State,NA,Republican,Jason Gibbs,27
Windham,Brattleboro,Windham 3-3,Secretary of State,NA,Republican,Jason Gibbs,26
Windsor,Bridgewater,NA,Secretary of State,NA,Republican,Jason Gibbs,17
Addison,Bridport,NA,Secretary of State,NA,Republican,Jason Gibbs,65
Essex,Brighton,NA,Secretary of State,NA,Republican,Jason Gibbs,48
Addison,Bristol,NA,Secretary of State,NA,Republican,Jason Gibbs,104
Orange,Brookfield,NA,Secretary of State,NA,Republican,Jason Gibbs,45
Windham,Brookline,NA,Secretary of State,NA,Republican,Jason Gibbs,11
Orleans,Brownington,NA,Secretary of State,NA,Republican,Jason Gibbs,24
Essex,Brunswick,NA,Secretary of State,NA,Republican,Jason Gibbs,6
Caledonia,Burke,NA,Secretary of State,NA,Republican,Jason Gibbs,43
Chittenden,Burlington,Chittenden 3-1,Secretary of State,NA,Republican,Jason Gibbs,91
Chittenden,Burlington,Chittenden 3-2,Secretary of State,NA,Republican,Jason Gibbs,45
Chittenden,Burlington,Chittenden 3-3,Secretary of State,NA,Republican,Jason Gibbs,37
Chittenden,Burlington,Chittenden 3-4,Secretary of State,NA,Republican,Jason Gibbs,25
Chittenden,Burlington,Chittenden 3-5,Secretary of State,NA,Republican,Jason Gibbs,65
Chittenden,Burlington,Chittenden 3-6,Secretary of State,NA,Republican,Jason Gibbs,7
Washington,Cabot,NA,Secretary of State,NA,Republican,Jason Gibbs,35
Washington,Calais,NA,Secretary of State,NA,Republican,Jason Gibbs,83
Lamoille,Cambridge,NA,Secretary of State,NA,Republican,Jason Gibbs,78
Essex,Canaan,NA,Secretary of State,NA,Republican,Jason Gibbs,10
Rutland,Castleton,NA,Secretary of State,NA,Republican,Jason Gibbs,122
Windsor,Cavendish,NA,Secretary of State,NA,Republican,Jason Gibbs,41
Orleans,Charleston,NA,Secretary of State,NA,Republican,Jason Gibbs,24
Chittenden,Charlotte,NA,Secretary of State,NA,Republican,Jason Gibbs,47
Orange,Chelsea,NA,Secretary of State,NA,Republican,Jason Gibbs,45
Windsor,Chester,NA,Secretary of State,NA,Republican,Jason Gibbs,56
Rutland,Chittenden,NA,Secretary of State,NA,Republican,Jason Gibbs,90
Rutland,Clarendon,NA,Secretary of State,NA,Republican,Jason Gibbs,101
Chittenden,Colchester,Chittenden 7-1,Secretary of State,NA,Republican,Jason Gibbs,94
Chittenden,Colchester,Chittenden 7-2,Secretary of State,NA,Republican,Jason Gibbs,116
Essex,Concord,NA,Secretary of State,NA,Republican,Jason Gibbs,33
Orange,Corinth,NA,Secretary of State,NA,Republican,Jason Gibbs,39
Addison,Cornwall,NA,Secretary of State,NA,Republican,Jason Gibbs,34
Orleans,Coventry,NA,Secretary of State,NA,Republican,Jason Gibbs,25
