county,town,precinct,office,district,party,candidate,votes
Addison,Addison,NA,U.S. Senate,NA,Republican,Len Britton,94
Orleans,Albany,NA,U.S. Senate,NA,Republican,Len Britton,78
Grand Isle,Alburgh,NA,U.S. Senate,NA,Republican,Len Britton,66
Windsor,Andover,NA,U.S. Senate,NA,Republican,Len Britton,27
Bennington,Arlington,NA,U.S. Senate,NA,Republican,Len Britton,85
Windham,Athens,NA,U.S. Senate,NA,Republican,Len Britton,9
Franklin,Bakersfield,NA,U.S. Senate,NA,Republican,Len Britton,34
Windsor,Baltimore,NA,U.S. Senate,NA,Republican,Len Britton,14
Windsor,Barnard,NA,U.S. Senate,NA,Republican,Len Britton,38
Caledonia,Barnet,NA,U.S. Senate,NA,Republican,Len Britton,102
Washington,Barre City,Washington 3-1,U.S. Senate,NA,Republican,Len Britton,186
Washington,Barre City,Washington 3-2,U.S. Senate,NA,Republican,Len Britton,143
Washington,Barre City,Washington 3-3,U.S. Senate,NA,Republican,Len Britton,12
Washington,Barre Town,NA,U.S. Senate,NA,Republican,Len Britton,598
Orleans,Barton,NA,U.S. Senate,NA,Republican,Len Britton,145
Lamoille,Belvidere,NA,U.S. Senate,NA,Republican,Len Britton,16
Bennington,Bennington,Bennington 2-1,U.S. Senate,NA,Republican,Len Britton,114
Bennington,Bennington,Bennington 2-2,U.S. Senate,NA,Republican,Len Britton,147
Rutland,Benson,NA,U.S. Senate,NA,Republican,Len Britton,45
Franklin,Berkshire,NA,U.S. Senate,NA,Republican,Len Britton,34
Washington,Berlin,NA,U.S. Senate,NA,Republican,Len Britton,109
Windsor,Bethel,NA,U.S. Senate,NA,Republican,Len Britton,73
Essex,Bloomfield,NA,U.S. Senate,NA,Republican,Len Britton,13
Chittenden,Bolton,NA,U.S. Senate,NA,Republican,Len Britton,47
Orange,Bradford,NA,U.S. Senate,NA,Republican,Len Britton,122
Orange,Braintree,NA,U.S. Senate,NA,Republican,Len Britton,84
Rutland,Brandon,NA,U.S. Senate,NA,Republican,Len Britton,171
Windham,Brattleboro,Windham 3-1,U.S. Senate,NA,Republican,Len Britton,105
Windham,Brattleboro,Windham 3-2,U.S. Senate,NA,Republican,Len Britton,54
Windham,Brattleboro,Windham 3-3,U.S. Senate,NA,Republican,Len Britton,45
Windsor,Bridgewater,NA,U.S. Senate,NA,Republican,Len Britton,39
Addison,Bridport,NA,U.S. Senate,NA,Republican,Len Britton,85
Essex,Brighton,NA,U.S. Senate,NA,Republican,Len Britton,73
Addison,Bristol,NA,U.S. Senate,NA,Republican,Len Britton,167
Orange,Brookfield,NA,U.S. Senate,NA,Republican,Len Britton,61
Windham,Brookline,NA,U.S. Senate,NA,Republican,Len Britton,19
Orleans,Brownington,NA,U.S. Senate,NA,Republican,Len Britton,30
Essex,Brunswick,NA,U.S. Senate,NA,Republican,Len Britton,6
Caledonia,Burke,NA,U.S. Senate,NA,Republican,Len Britton,64
Chittenden,Burlington,Chittenden 3-1,U.S. Senate,NA,Republican,Len Britton,238
Chittenden,Burlington,Chittenden 3-2,U.S. Senate,NA,Republican,Len Britton,111
Chittenden,Burlington,Chittenden 3-3,U.S. Senate,NA,Republican,Len Britton,74
Chittenden,Burlington,Chittenden 3-4,U.S. Senate,NA,Republican,Len Britton,38
Chittenden,Burlington,Chittenden 3-5,U.S. Senate,NA,Republican,Len Britton,136
Chittenden,Burlington,Chittenden 3-6,U.S. Senate,NA,Republican,Len Britton,12
Washington,Cabot,NA,U.S. Senate,NA,Republican,Len Britton,44
Washington,Calais,NA,U.S. Senate,NA,Republican,Len Britton,80
Lamoille,Cambridge,NA,U.S. Senate,NA,Republican,Len Britton,110
Essex,Canaan,NA,U.S. Senate,NA,Republican,Len Britton,14
Rutland,Castleton,NA,U.S. Senate,NA,Republican,Len Britton,160
Windsor,Cavendish,NA,U.S. Senate,NA,Republican,Len Britton,66
Orleans,Charleston,NA,U.S. Senate,NA,Republican,Len Britton,39
Chittenden,Charlotte,NA,U.S. Senate,NA,Republican,Len Britton,134
Orange,Chelsea,NA,U.S. Senate,NA,Republican,Len Britton,66
Windsor,Chester,NA,U.S. Senate,NA,Republican,Len Britton,116
Rutland,Chittenden,NA,U.S. Senate,NA,Republican,Len Britton,128
Rutland,Clarendon,NA,U.S. Senate,NA,Republican,Len Britton,139
Chittenden,Colchester,Chittenden 7-1,U.S. Senate,NA,Republican,Len Britton,201
Chittenden,Colchester,Chittenden 7-2,U.S. Senate,NA,Republican,Len Britton,280
Essex,Concord,NA,U.S. Senate,NA,Republican,Len Britton,50
Orange,Corinth,NA,U.S. Senate,NA,Republican,Len Britton,60
Addison,Cornwall,NA,U.S. Senate,NA,Republican,Len Britton,57
Orleans,Coventry,NA,U.S. Senate,NA,Republican,Len Britton,35
Orleans,Craftsbury,NA,U.S. Senate,NA,Republican,Len Britton,42
Rutland,Danby,NA,U.S. Senate,NA,Republican,Len Britton,65
Caledonia,Danville,NA,U.S. Senate,NA,Republican,Len Britton,135
Orleans,Derby,NA,U.S. Senate,NA,Republican,Len Britton,213
Bennington,Dorset,NA,U.S. Senate,NA,Republican,Len Britton,91
Windham,Dover,NA,U.S. Senate,NA,Republican,Len Britton,46
Windham,Dummerston,NA,U.S. Senate,NA,Republican,Len Britton,53
Washington,Duxbury,NA,U.S. Senate,NA,Republican,Len Britton,54
Essex,E. Haven,NA,U.S. Senate,NA,Republican,Len Britton,43
Washington,E. Montpelier,NA,U.S. Senate,NA,Republican,Len Britton,138
Lamoille,Eden,NA,U.S. Senate,NA,Republican,Len Britton,29
Lamoille,Elmore,NA,U.S. Senate,NA,Republican,Len Britton,30
Franklin,Enosburgh,NA,U.S. Senate,NA,Republican,Len Britton,69
Chittenden,Essex,Chittenden 6-1,U.S. Senate,NA,Republican,Len Britton,286
Chittenden,Essex,Chittenden 6-2,U.S. Senate,NA,Republican,Len Britton,335
Chittenden,Essex,Chittenden 6-3,U.S. Senate,NA,Republican,Len Britton,93
Rutland,Fair Haven,NA,U.S. Senate,NA,Republican,Len Britton,121
Franklin,Fairfax,NA,U.S. Senate,NA,Republican,Len Britton,122
Franklin,Fairfield,NA,U.S. Senate,NA,Republican,Len Britton,64
Orange,Fairlee,NA,U.S. Senate,NA,Republican,Len Britton,28
Washington,Fayston,NA,U.S. Senate,NA,Republican,Len Britton,45
Addison,Ferrisburgh,NA,U.S. Senate,NA,Republican,Len Britton,113
Franklin,Fletcher,NA,U.S. Senate,NA,Republican,Len Britton,40
Franklin,Franklin,NA,U.S. Senate,NA,Republican,Len Britton,67
Franklin,Georgia,NA,U.S. Senate,NA,Republican,Len Britton,147
Orleans,Glover,NA,U.S. Senate,NA,Republican,Len Britton,68
Addison,Goshen,NA,U.S. Senate,NA,Republican,Len Britton,25
Windham,Grafton,NA,U.S. Senate,NA,Republican,Len Britton,35
Essex,Granby,NA,U.S. Senate,NA,Republican,Len Britton,15
Grand Isle,Grand Isle,NA,U.S. Senate,NA,Republican,Len Britton,105
Addison,Granville,NA,U.S. Senate,NA,Republican,Len Britton,9
Orleans,Greensboro,NA,U.S. Senate,NA,Republican,Len Britton,36
Caledonia,Groton,NA,U.S. Senate,NA,Republican,Len Britton,70
Essex,Guildhall,NA,U.S. Senate,NA,Republican,Len Britton,22
Windham,Guilford,NA,U.S. Senate,NA,Republican,Len Britton,39
Windham,Halifax,NA,U.S. Senate,NA,Republican,Len Britton,18
Addison,Hancock,NA,U.S. Senate,NA,Republican,Len Britton,12
Caledonia,Hardwick,NA,U.S. Senate,NA,Republican,Len Britton,75
Windsor,Hartford,Windsor 6-1,U.S. Senate,NA,Republican,Len Britton,67
Windsor,Hartford,Windsor 6-2,U.S. Senate,NA,Republican,Len Britton,163
Windsor,Hartland,NA,U.S. Senate,NA,Republican,Len Britton,120
Franklin,Highgate,NA,U.S. Senate,NA,Republican,Len Britton,99
Chittenden,Hinesburg,Chittenden 1-1,U.S. Senate,NA,Republican,Len Britton,116
Chittenden,Hinesburg,Chittenden 1-2,U.S. Senate,NA,Republican,Len Britton,6
Orleans,Holland,NA,U.S. Senate,NA,Republican,Len Britton,26
Rutland,Hubbardton,NA,U.S. Senate,NA,Republican,Len Britton,23
Chittenden,Huntington,NA,U.S. Senate,NA,Republican,Len Britton,47
Lamoille,Hyde Park,NA,U.S. Senate,NA,Republican,Len Britton,126
Rutland,Ira,Rutland 1-1,U.S. Senate,NA,Republican,Len Britton,4
Rutland,Ira,Rutland 1-2,U.S. Senate,NA,Republican,Len Britton,31
Orleans,Irasburg,NA,U.S. Senate,NA,Republican,Len Britton,49
Grand Isle,Isle La Motte,NA,U.S. Senate,NA,Republican,Len Britton,15
Windham,Jamaica,NA,U.S. Senate,NA,Republican,Len Britton,36
Orleans,Jay,NA,U.S. Senate,NA,Republican,Len Britton,13
Chittenden,Jericho,NA,U.S. Senate,NA,Republican,Len Britton,235
Lamoille,Johnson,NA,U.S. Senate,NA,Republican,Len Britton,69
Rutland,Killington,NA,U.S. Senate,NA,Republican,Len Britton,86
Caledonia,Kirby,NA,U.S. Senate,NA,Republican,Len Britton,29
Bennington,Landgrove,NA,U.S. Senate,NA,Republican,Len Britton,9
Addison,Leicester,NA,U.S. Senate,NA,Republican,Len Britton,43
Essex,Lemington,NA,U.S. Senate,NA,Republican,Len Britton,7
Addison,Lincoln,NA,U.S. Senate,NA,Republican,Len Britton,56
Windham,Londonderry,NA,U.S. Senate,NA,Republican,Len Britton,92
Orleans,Lowell,NA,U.S. Senate,NA,Republican,Len Britton,26
Windsor,Ludlow,NA,U.S. Senate,NA,Republican,Len Britton,75
Essex,Lunenburg,NA,U.S. Senate,NA,Republican,Len Britton,115
