county,town,precinct,office,district,party,candidate,votes
Addison,Addison,NA,Governor,NA,Democratic,Peter Shumlin,198
Orleans,Albany,NA,Governor,NA,Democratic,Peter Shumlin,174
Grand Isle,Alburgh,NA,Governor,NA,Democratic,Peter Shumlin,299
Windsor,Andover,NA,Governor,NA,Democratic,Peter Shumlin,108
Bennington,Arlington,NA,Governor,NA,Democratic,Peter Shumlin,570
Windham,Athens,NA,Governor,NA,Democratic,Peter Shumlin,47
Franklin,Bakersfield,NA,Governor,NA,Democratic,Peter Shumlin,220
Windsor,Baltimore,NA,Governor,NA,Democratic,Peter Shumlin,36
Windsor,Barnard,NA,Governor,NA,Democratic,Peter Shumlin,204
Caledonia,Barnet,NA,Governor,NA,Democratic,Peter Shumlin,321
Washington,Barre City,Washington 3-1,Governor,NA,Democratic,Peter Shumlin,563
Washington,Barre City,Washington 3-2,Governor,NA,Democratic,Peter Shumlin,502
Washington,Barre City,Washington 3-3,Governor,NA,Democratic,Peter Shumlin,103
Washington,Barre Town,NA,Governor,NA,Democratic,Peter Shumlin,"1,090"
Orleans,Barton,NA,Governor,NA,Democratic,Peter Shumlin,312
Lamoille,Belvidere,NA,Governor,NA,Democratic,Peter Shumlin,45
Bennington,Bennington,Bennington 2-1,Governor,NA,Democratic,Peter Shumlin,"1,707"
Bennington,Bennington,Bennington 2-2,Governor,NA,Democratic,Peter Shumlin,"1,385"
Rutland,Benson,NA,Governor,NA,Democratic,Peter Shumlin,153
Franklin,Berkshire,NA,Governor,NA,Democratic,Peter Shumlin,164
Washington,Berlin,NA,Governor,NA,Democratic,Peter Shumlin,482
Windsor,Bethel,NA,Governor,NA,Democratic,Peter Shumlin,393
Essex,Bloomfield,NA,Governor,NA,Democratic,Peter Shumlin,36
Chittenden,Bolton,NA,Governor,NA,Democratic,Peter Shumlin,254
Orange,Bradford,NA,Governor,NA,Democratic,Peter Shumlin,451
Orange,Braintree,NA,Governor,NA,Democratic,Peter Shumlin,232
Rutland,Brandon,NA,Governor,NA,Democratic,Peter Shumlin,656
Windham,Brattleboro,Windham 3-1,Governor,NA,Democratic,Peter Shumlin,"1,112"
Windham,Brattleboro,Windham 3-2,Governor,NA,Democratic,Peter Shumlin,957
Windham,Brattleboro,Windham 3-3,Governor,NA,Democratic,Peter Shumlin,"1,004"
Windsor,Bridgewater,NA,Governor,NA,Democratic,Peter Shumlin,175
Addison,Bridport,NA,Governor,NA,Democratic,Peter Shumlin,190
Essex,Brighton,NA,Governor,NA,Democratic,Peter Shumlin,176
Addison,Bristol,NA,Governor,NA,Democratic,Peter Shumlin,773
Orange,Brookfield,NA,Governor,NA,Democratic,Peter Shumlin,295
Windham,Brookline,NA,Governor,NA,Democratic,Peter Shumlin,118
Orleans,Brownington,NA,Governor,NA,Democratic,Peter Shumlin,122
Essex,Brunswick,NA,Governor,NA,Democratic,Peter Shumlin,22
Caledonia,Burke,NA,Governor,NA,Democratic,Peter Shumlin,246
Chittenden,Burlington,Chittenden 3-1,Governor,NA,Democratic,Peter Shumlin,"1,652"
Chittenden,Burlington,Chittenden 3-2,Governor,NA,Democratic,Peter Shumlin,995
Chittenden,Burlington,Chittenden 3-3,Governor,NA,Democratic,Peter Shumlin,"1,901"
Chittenden,Burlington,Chittenden 3-4,Governor,NA,Democratic,Peter Shumlin,"1,566"
Chittenden,Burlington,Chittenden 3-5,Governor,NA,Democratic,Peter Shumlin,"2,705"
Chittenden,Burlington,Chittenden 3-6,Governor,NA,Democratic,Peter Shumlin,310
Washington,Cabot,NA,Governor,NA,Democratic,Peter Shumlin,336
Washington,Calais,NA,Governor,NA,Democratic,Peter Shumlin,553
Lamoille,Cambridge,NA,Governor,NA,Democratic,Peter Shumlin,742
Essex,Canaan,NA,Governor,NA,Democratic,Peter Shumlin,105
Rutland,Castleton,NA,Governor,NA,Democratic,Peter Shumlin,477
Windsor,Cavendish,NA,Governor,NA,Democratic,Peter Shumlin,226
Orleans,Charleston,NA,Governor,NA,Democratic,Peter Shumlin,167
Chittenden,Charlotte,NA,Governor,NA,Democratic,Peter Shumlin,"1,112"
Orange,Chelsea,NA,Governor,NA,Democratic,Peter Shumlin,225
Windsor,Chester,NA,Governor,NA,Democratic,Peter Shumlin,652
Rutland,Chittenden,NA,Governor,NA,Democratic,Peter Shumlin,231
Rutland,Clarendon,NA,Governor,NA,Democratic,Peter Shumlin,314
Chittenden,Colchester,Chittenden 7-1,Governor,NA,Democratic,Peter Shumlin,"1,164"
Chittenden,Colchester,Chittenden 7-2,Governor,NA,Democratic,Peter Shumlin,"1,327"
Essex,Concord,NA,Governor,NA,Democratic,Peter Shumlin,134
Orange,Corinth,NA,Governor,NA,Democratic,Peter Shumlin,260
Addison,Cornwall,NA,Governor,NA,Democratic,Peter Shumlin,356
Orleans,Coventry,NA,Governor,NA,Democratic,Peter Shumlin,154
Orleans,Craftsbury,NA,Governor,NA,Democratic,Peter Shumlin,298
Rutland,Danby,NA,Governor,NA,Democratic,Peter Shumlin,211
Caledonia,Danville,NA,Governor,NA,Democratic,Peter Shumlin,398
Orleans,Derby,NA,Governor,NA,Democratic,Peter Shumlin,660
Bennington,Dorset,NA,Governor,NA,Democratic,Peter Shumlin,468
Windham,Dover,NA,Governor,NA,Democratic,Peter Shumlin,209
Windham,Dummerston,NA,Governor,NA,Democratic,Peter Shumlin,636
Washington,Duxbury,NA,Governor,NA,Democratic,Peter Shumlin,315
Essex,E. Haven,NA,Governor,NA,Democratic,Peter Shumlin,47
Washington,E. Montpelier,NA,Governor,NA,Democratic,Peter Shumlin,766
Lamoille,Eden,NA,Governor,NA,Democratic,Peter Shumlin,144
Lamoille,Elmore,NA,Governor,NA,Democratic,Peter Shumlin,234
Franklin,Enosburgh,NA,Governor,NA,Democratic,Peter Shumlin,398
Chittenden,Essex,Chittenden 6-1,Governor,NA,Democratic,Peter Shumlin,"1,336"
Chittenden,Essex,Chittenden 6-2,Governor,NA,Democratic,Peter Shumlin,"1,575"
Chittenden,Essex,Chittenden 6-3,Governor,NA,Democratic,Peter Shumlin,510
Rutland,Fair Haven,NA,Governor,NA,Democratic,Peter Shumlin,290
Franklin,Fairfax,NA,Governor,NA,Democratic,Peter Shumlin,680
Franklin,Fairfield,NA,Governor,NA,Democratic,Peter Shumlin,286
Orange,Fairlee,NA,Governor,NA,Democratic,Peter Shumlin,212
Washington,Fayston,NA,Governor,NA,Democratic,Peter Shumlin,339
Addison,Ferrisburgh,NA,Governor,NA,Democratic,Peter Shumlin,552
Franklin,Fletcher,NA,Governor,NA,Democratic,Peter Shumlin,234
Franklin,Franklin,NA,Governor,NA,Democratic,Peter Shumlin,141
Franklin,Georgia,NA,Governor,NA,Democratic,Peter Shumlin,590
Orleans,Glover,NA,Governor,NA,Democratic,Peter Shumlin,232
Addison,Goshen,NA,Governor,NA,Democratic,Peter Shumlin,58
Windham,Grafton,NA,Governor,NA,Democratic,Peter Shumlin,148
Essex,Granby,NA,Governor,NA,Democratic,Peter Shumlin,13
Grand Isle,Grand Isle,NA,Governor,NA,Democratic,Peter Shumlin,419
Addison,Granville,NA,Governor,NA,Democratic,Peter Shumlin,83
Orleans,Greensboro,NA,Governor,NA,Democratic,Peter Shumlin,206
Caledonia,Groton,NA,Governor,NA,Democratic,Peter Shumlin,122
Essex,Guildhall,NA,Governor,NA,Democratic,Peter Shumlin,49
Windham,Guilford,NA,Governor,NA,Democratic,Peter Shumlin,565
Windham,Halifax,NA,Governor,NA,Democratic,Peter Shumlin,184
Addison,Hancock,NA,Governor,NA,Democratic,Peter Shumlin,71
Caledonia,Hardwick,NA,Governor,NA,Democratic,Peter Shumlin,552
Windsor,Hartford,Windsor 6-1,Governor,NA,Democratic,Peter Shumlin,402
Windsor,Hartford,Windsor 6-2,Governor,NA,Democratic,Peter Shumlin,"1,395"
Windsor,Hartland,NA,Governor,NA,Democratic,Peter Shumlin,841
Franklin,Highgate,NA,Governor,NA,Democratic,Peter Shumlin,292
Chittenden,Hinesburg,Chittenden 1-1,Governor,NA,Democratic,Peter Shumlin,"1,058"
Chittenden,Hinesburg,Chittenden 1-2,Governor,NA,Democratic,Peter Shumlin,52
Orleans,Holland,NA,Governor,NA,Democratic,Peter Shumlin,86
Rutland,Hubbardton,NA,Governor,NA,Democratic,Peter Shumlin,108
Chittenden,Huntington,NA,Governor,NA,Democratic,Peter Shumlin,602
Lamoille,Hyde Park,NA,Governor,NA,Democratic,Peter Shumlin,556
Rutland,Ira,Rutland 1-1,Governor,NA,Democratic,Peter Shumlin,8
