county,town,precinct,office,district,party,candidate,votes
Addison,Addison,NA,U.S. Senate,NA,Democratic,Patrick Leahy,316
Orleans,Albany,NA,U.S. Senate,NA,Democratic,Patrick Leahy,247
Grand Isle,Alburgh,NA,U.S. Senate,NA,Democratic,Patrick Leahy,422
Windsor,Andover,NA,U.S. Senate,NA,Democratic,Patrick Leahy,121
Bennington,Arlington,NA,U.S. Senate,NA,Democratic,Patrick Leahy,611
Windham,Athens,NA,U.S. Senate,NA,Democratic,Patrick Leahy,55
Franklin,Bakersfield,NA,U.S. Senate,NA,Democratic,Patrick Leahy,309
Windsor,Baltimore,NA,U.S. Senate,NA,Democratic,Patrick Leahy,46
Windsor,Barnard,NA,U.S. Senate,NA,Democratic,Patrick Leahy,263
Caledonia,Barnet,NA,U.S. Senate,NA,Democratic,Patrick Leahy,384
Washington,Barre City,Washington 3-1,U.S. Senate,NA,Democratic,Patrick Leahy,811
Washington,Barre City,Washington 3-2,U.S. Senate,NA,Democratic,Patrick Leahy,682
Washington,Barre City,Washington 3-3,U.S. Senate,NA,Democratic,Patrick Leahy,143
Washington,Barre Town,NA,U.S. Senate,NA,Democratic,Patrick Leahy,"1,794"
Orleans,Barton,NA,U.S. Senate,NA,Democratic,Patrick Leahy,492
Lamoille,Belvidere,NA,U.S. Senate,NA,Democratic,Patrick Leahy,65
Bennington,Bennington,Bennington 2-1,U.S. Senate,NA,Democratic,Patrick Leahy,"1,881"
Bennington,Bennington,Bennington 2-2,U.S. Senate,NA,Democratic,Patrick Leahy,"1,565"
Rutland,Benson,NA,U.S. Senate,NA,Democratic,Patrick Leahy,199
Franklin,Berkshire,NA,U.S. Senate,NA,Democratic,Patrick Leahy,253
Washington,Berlin,NA,U.S. Senate,NA,Democratic,Patrick Leahy,660
Windsor,Bethel,NA,U.S. Senate,NA,Democratic,Patrick Leahy,510
Essex,Bloomfield,NA,U.S. Senate,NA,Democratic,Patrick Leahy,48
Chittenden,Bolton,NA,U.S. Senate,NA,Democratic,Patrick Leahy,342
Orange,Bradford,NA,U.S. Senate,NA,Democratic,Patrick Leahy,545
Orange,Braintree,NA,U.S. Senate,NA,Democratic,Patrick Leahy,300
Rutland,Brandon,NA,U.S. Senate,NA,Democratic,Patrick Leahy,828
Windham,Brattleboro,Windham 3-1,U.S. Senate,NA,Democratic,Patrick Leahy,"1,249"
Windham,Brattleboro,Windham 3-2,U.S. Senate,NA,Democratic,Patrick Leahy,998
Windham,Brattleboro,Windham 3-3,U.S. Senate,NA,Democratic,Patrick Leahy,"1,023"
Windsor,Bridgewater,NA,U.S. Senate,NA,Democratic,Patrick Leahy,200
Addison,Bridport,NA,U.S. Senate,NA,Democratic,Patrick Leahy,308
Essex,Brighton,NA,U.S. Senate,NA,Democratic,Patrick Leahy,244
Addison,Bristol,NA,U.S. Senate,NA,Democratic,Patrick Leahy,"1,034"
Orange,Brookfield,NA,U.S. Senate,NA,Democratic,Patrick Leahy,362
Windham,Brookline,NA,U.S. Senate,NA,Democratic,Patrick Leahy,123
Orleans,Brownington,NA,U.S. Senate,NA,Democratic,Patrick Leahy,166
Essex,Brunswick,NA,U.S. Senate,NA,Democratic,Patrick Leahy,34
Caledonia,Burke,NA,U.S. Senate,NA,Democratic,Patrick Leahy,321
Chittenden,Burlington,Chittenden 3-1,U.S. Senate,NA,Democratic,Patrick Leahy,"2,075"
Chittenden,Burlington,Chittenden 3-2,U.S. Senate,NA,Democratic,Patrick Leahy,"1,189"
Chittenden,Burlington,Chittenden 3-3,U.S. Senate,NA,Democratic,Patrick Leahy,"1,913"
Chittenden,Burlington,Chittenden 3-4,U.S. Senate,NA,Democratic,Patrick Leahy,"1,530"
Chittenden,Burlington,Chittenden 3-5,U.S. Senate,NA,Democratic,Patrick Leahy,"2,824"
Chittenden,Burlington,Chittenden 3-6,U.S. Senate,NA,Democratic,Patrick Leahy,360
Washington,Cabot,NA,U.S. Senate,NA,Democratic,Patrick Leahy,388
Washington,Calais,NA,U.S. Senate,NA,Democratic,Patrick Leahy,603
Lamoille,Cambridge,NA,U.S. Senate,NA,Democratic,Patrick Leahy,994
Essex,Canaan,NA,U.S. Senate,NA,Democratic,Patrick Leahy,185
Rutland,Castleton,NA,U.S. Senate,NA,Democratic,Patrick Leahy,639
Windsor,Cavendish,NA,U.S. Senate,NA,Democratic,Patrick Leahy,281
Orleans,Charleston,NA,U.S. Senate,NA,Democratic,Patrick Leahy,199
Chittenden,Charlotte,NA,U.S. Senate,NA,Democratic,Patrick Leahy,"1,364"
Orange,Chelsea,NA,U.S. Senate,NA,Democratic,Patrick Leahy,283
Windsor,Chester,NA,U.S. Senate,NA,Democratic,Patrick Leahy,753
Rutland,Chittenden,NA,U.S. Senate,NA,Democratic,Patrick Leahy,268
Rutland,Clarendon,NA,U.S. Senate,NA,Democratic,Patrick Leahy,423
Chittenden,Colchester,Chittenden 7-1,U.S. Senate,NA,Democratic,Patrick Leahy,"1,724"
Chittenden,Colchester,Chittenden 7-2,U.S. Senate,NA,Democratic,Patrick Leahy,"1,989"
Essex,Concord,NA,U.S. Senate,NA,Democratic,Patrick Leahy,186
Orange,Corinth,NA,U.S. Senate,NA,Democratic,Patrick Leahy,288
Addison,Cornwall,NA,U.S. Senate,NA,Democratic,Patrick Leahy,419
Orleans,Coventry,NA,U.S. Senate,NA,Democratic,Patrick Leahy,235
Orleans,Craftsbury,NA,U.S. Senate,NA,Democratic,Patrick Leahy,369
Rutland,Danby,NA,U.S. Senate,NA,Democratic,Patrick Leahy,250
Caledonia,Danville,NA,U.S. Senate,NA,Democratic,Patrick Leahy,549
Orleans,Derby,NA,U.S. Senate,NA,Democratic,Patrick Leahy,"1,016"
Bennington,Dorset,NA,U.S. Senate,NA,Democratic,Patrick Leahy,534
Windham,Dover,NA,U.S. Senate,NA,Democratic,Patrick Leahy,278
Windham,Dummerston,NA,U.S. Senate,NA,Democratic,Patrick Leahy,697
Washington,Duxbury,NA,U.S. Senate,NA,Democratic,Patrick Leahy,413
Essex,E. Haven,NA,U.S. Senate,NA,Democratic,Patrick Leahy,68
Washington,E. Montpelier,NA,U.S. Senate,NA,Democratic,Patrick Leahy,936
Lamoille,Eden,NA,U.S. Senate,NA,Democratic,Patrick Leahy,222
Lamoille,Elmore,NA,U.S. Senate,NA,Democratic,Patrick Leahy,317
Franklin,Enosburgh,NA,U.S. Senate,NA,Democratic,Patrick Leahy,688
Chittenden,Essex,Chittenden 6-1,U.S. Senate,NA,Democratic,Patrick Leahy,"2,033"
Chittenden,Essex,Chittenden 6-2,U.S. Senate,NA,Democratic,Patrick Leahy,"2,362"
Chittenden,Essex,Chittenden 6-3,U.S. Senate,NA,Democratic,Patrick Leahy,697
Rutland,Fair Haven,NA,U.S. Senate,NA,Democratic,Patrick Leahy,450
Franklin,Fairfax,NA,U.S. Senate,NA,Democratic,Patrick Leahy,956
Franklin,Fairfield,NA,U.S. Senate,NA,Democratic,Patrick Leahy,514
Orange,Fairlee,NA,U.S. Senate,NA,Democratic,Patrick Leahy,252
Washington,Fayston,NA,U.S. Senate,NA,Democratic,Patrick Leahy,441
Addison,Ferrisburgh,NA,U.S. Senate,NA,Democratic,Patrick Leahy,793
Franklin,Fletcher,NA,U.S. Senate,NA,Democratic,Patrick Leahy,305
Franklin,Franklin,NA,U.S. Senate,NA,Democratic,Patrick Leahy,241
Franklin,Georgia,NA,U.S. Senate,NA,Democratic,Patrick Leahy,967
Orleans,Glover,NA,U.S. Senate,NA,Democratic,Patrick Leahy,305
Addison,Goshen,NA,U.S. Senate,NA,Democratic,Patrick Leahy,63
Windham,Grafton,NA,U.S. Senate,NA,Democratic,Patrick Leahy,164
Essex,Granby,NA,U.S. Senate,NA,Democratic,Patrick Leahy,20
Grand Isle,Grand Isle,NA,U.S. Senate,NA,Democratic,Patrick Leahy,603
Addison,Granville,NA,U.S. Senate,NA,Democratic,Patrick Leahy,94
