county,town,precinct,office,district,party,candidate,votes
Addison,Addison,NA,President,NA,Republican,Mitt Romney,78
Orleans,Albany,NA,President,NA,Republican,Mitt Romney,20
Grand Isle,Alburgh,NA,President,NA,Republican,Mitt Romney,100
Windsor,Andover,NA,President,NA,Republican,Mitt Romney,21
Bennington,Arlington,NA,President,NA,Republican,Mitt Romney,103
Windham,Athens,NA,President,NA,Republican,Mitt Romney,9
Franklin,Bakersfield,NA,President,NA,Republican,Mitt Romney,47
Windsor,Baltimore,NA,President,NA,Republican,Mitt Romney,7
Windsor,Barnard,NA,President,NA,Republican,Mitt Romney,49
Caledonia,Barnet,NA,President,NA,Republican,Mitt Romney,56
Washington,Barre City,NA,President,NA,Republican,Mitt Romney,268
Washington,Barre Town,NA,President,NA,Republican,Mitt Romney,370
Orleans,Barton,NA,President,NA,Republican,Mitt Romney,85
Lamoille,Belvidere,NA,President,NA,Republican,Mitt Romney,10
Bennington,Bennington,NA,President,NA,Republican,Mitt Romney,405
Rutland,Benson,NA,President,NA,Republican,Mitt Romney,33
Franklin,Berkshire,NA,President,NA,Republican,Mitt Romney,54
Washington,Berlin,NA,President,NA,Republican,Mitt Romney,121
Windsor,Bethel,NA,President,NA,Republican,Mitt Romney,66
Essex,Bloomfield,NA,President,NA,Republican,Mitt Romney,8
Chittenden,Bolton,NA,President,NA,Republican,Mitt Romney,36
Orange,Bradford,NA,President,NA,Republican,Mitt Romney,50
Orange,Braintree,NA,President,NA,Republican,Mitt Romney,36
Rutland,Brandon,NA,President,NA,Republican,Mitt Romney,165
Windham,Brattleboro,NA,President,NA,Republican,Mitt Romney,270
Windsor,Bridgewater,NA,President,NA,Republican,Mitt Romney,26
Addison,Bridport,NA,President,NA,Republican,Mitt Romney,68
Essex,Brighton,NA,President,NA,Republican,Mitt Romney,108
Addison,Bristol,NA,President,NA,Republican,Mitt Romney,153
Orange,Brookfield,NA,President,NA,Republican,Mitt Romney,52
Windham,Brookline,NA,President,NA,Republican,Mitt Romney,14
Orleans,Brownington,NA,President,NA,Republican,Mitt Romney,29
Essex,Brunswick,NA,President,NA,Republican,Mitt Romney,4
Caledonia,Burke,NA,President,NA,Republican,Mitt Romney,78
Chittenden,Burlington,NA,President,NA,Republican,Mitt Romney,1131
Washington,Cabot,NA,President,NA,Republican,Mitt Romney,26
Washington,Calais,NA,President,NA,Republican,Mitt Romney,52
Lamoille,Cambridge,NA,President,NA,Republican,Mitt Romney,97
Essex,Canaan,NA,President,NA,Republican,Mitt Romney,57
Rutland,Castleton,NA,President,NA,Republican,Mitt Romney,276
Windsor,Cavendish,NA,President,NA,Republican,Mitt Romney,67
Orleans,Charleston,NA,President,NA,Republican,Mitt Romney,25
Chittenden,Charlotte,NA,President,NA,Republican,Mitt Romney,203
Orange,Chelsea,NA,President,NA,Republican,Mitt Romney,42
Windsor,Chester,NA,President,NA,Republican,Mitt Romney,125
Rutland,Chittenden,NA,President,NA,Republican,Mitt Romney,97
