county,town,precinct,office,district,party,candidate,votes
Addison,Addison,NA,U.S. House,NA,Democratic,Peter Welch,451
Orleans,Albany,NA,U.S. House,NA,Democratic,Peter Welch,200
Grand Isle,Alburgh,NA,U.S. House,NA,Democratic,Peter Welch,619
Windsor,Andover,NA,U.S. House,NA,Democratic,Peter Welch,1
Bennington,Arlington,NA,U.S. House,NA,Democratic,Peter Welch,794
Windham,Athens,NA,U.S. House,NA,Democratic,Peter Welch,84
Franklin,Bakersfield,NA,U.S. House,NA,Democratic,Peter Welch,411
Windsor,Baltimore,NA,U.S. House,NA,Democratic,Peter Welch,67
Windsor,Barnard,NA,U.S. House,NA,Democratic,Peter Welch,378
Caledonia,Barnet,NA,U.S. House,NA,Democratic,Peter Welch,628
Washington,Barre City,NA,U.S. House,NA,Democratic,Peter Welch,"2,167"
Washington,Barre Town,NA,U.S. House,NA,Democratic,Peter Welch,"2,454"
Orleans,Barton,NA,U.S. House,NA,Democratic,Peter Welch,739
Lamoille,Belvidere,NA,U.S. House,NA,Democratic,Peter Welch,92
Bennington,Bennington,Bennington 2-1,U.S. House,NA,Democratic,Peter Welch,"2,469"
Bennington,Bennington,Bennington 2-2,U.S. House,NA,Democratic,Peter Welch,"2,091"
Rutland,Benson,NA,U.S. House,NA,Democratic,Peter Welch,310
Franklin,Berkshire,NA,U.S. House,NA,Democratic,Peter Welch,374
Washington,Berlin,NA,U.S. House,NA,Democratic,Peter Welch,889
Windsor,Bethel,NA,U.S. House,NA,Democratic,Peter Welch,696
Essex,Bloomfield,NA,U.S. House,NA,Democratic,Peter Welch,66
Chittenden,Bolton,NA,U.S. House,NA,Democratic,Peter Welch,452
Orange,Bradford,NA,U.S. House,NA,Democratic,Peter Welch,804
Orange,Braintree,NA,U.S. House,NA,Democratic,Peter Welch,373
Rutland,Brandon,NA,U.S. House,NA,Democratic,Peter Welch,"1,253"
Windham,Brattleboro,Windham 2-1,U.S. House,NA,Democratic,Peter Welch,"1,576"
Windham,Brattleboro,Windham 2-2,U.S. House,NA,Democratic,Peter Welch,"1,468"
Windham,Brattleboro,Windham 2-3,U.S. House,NA,Democratic,Peter Welch,"1,489"
Windsor,Bridgewater,NA,U.S. House,NA,Democratic,Peter Welch,339
Addison,Bridport,NA,U.S. House,NA,Democratic,Peter Welch,407
Essex,Brighton,NA,U.S. House,NA,Democratic,Peter Welch,338
Addison,Bristol,NA,U.S. House,NA,Democratic,Peter Welch,"1,307"
Orange,Brookfield,NA,U.S. House,NA,Democratic,Peter Welch,475
Windham,Brookline,NA,U.S. House,NA,Democratic,Peter Welch,174
Orleans,Brownington,NA,U.S. House,NA,Democratic,Peter Welch,250
Essex,Brunswick,NA,U.S. House,NA,Democratic,Peter Welch,44
Caledonia,Burke,NA,U.S. House,NA,Democratic,Peter Welch,494
Chittenden,Burlington,Chittenden 6-1,U.S. House,NA,Democratic,Peter Welch,"3,196"
Chittenden,Burlington,Chittenden 6-2,U.S. House,NA,Democratic,Peter Welch,"1,684"
Chittenden,Burlington,Chittenden 6-3,U.S. House,NA,Democratic,Peter Welch,"2,669"
Chittenden,Burlington,Chittenden 6-4,U.S. House,NA,Democratic,Peter Welch,"1,988"
Chittenden,Burlington,Chittenden 6-5,U.S. House,NA,Democratic,Peter Welch,"3,672"
Chittenden,Burlington,Chittenden 6-6,U.S. House,NA,Democratic,Peter Welch,769
Chittenden,Burlington,Chittenden 6-7,U.S. House,NA,Democratic,Peter Welch,63
Washington,Cabot,NA,U.S. House,NA,Democratic,Peter Welch,511
Washington,Calais,NA,U.S. House,NA,Democratic,Peter Welch,765
Lamoille,Cambridge,NA,U.S. House,NA,Democratic,Peter Welch,"1,401"
Essex,Canaan,NA,U.S. House,NA,Democratic,Peter Welch,267
Rutland,Castleton,NA,U.S. House,NA,Democratic,Peter Welch,"1,066"
Windsor,Cavendish,NA,U.S. House,NA,Democratic,Peter Welch,417
Orleans,Charleston,NA,U.S. House,NA,Democratic,Peter Welch,263
Chittenden,Charlotte,NA,U.S. House,NA,Democratic,Peter Welch,"1,682"
Orange,Chelsea,NA,U.S. House,NA,Democratic,Peter Welch,362
Windsor,Chester,NA,U.S. House,NA,Democratic,Peter Welch,"1,012"
Rutland,Chittenden,NA,U.S. House,NA,Democratic,Peter Welch,471
Rutland,Clarendon,NA,U.S. House,NA,Democratic,Peter Welch,716
Chittenden,Colchester,Chittenden 9-1,U.S. House,NA,Democratic,Peter Welch,"2,242"
Chittenden,Colchester,Chittenden 9-2,U.S. House,NA,Democratic,Peter Welch,"2,819"
Essex,Concord,NA,U.S. House,NA,Democratic,Peter Welch,291
Orange,Corinth,NA,U.S. House,NA,Democratic,Peter Welch,430
Addison,Cornwall,NA,U.S. House,NA,Democratic,Peter Welch,520
Orleans,Coventry,NA,U.S. House,NA,Democratic,Peter Welch,350
Orleans,Craftsbury,NA,U.S. House,NA,Democratic,Peter Welch,449
Rutland,Danby,NA,U.S. House,NA,Democratic,Peter Welch,403
Caledonia,Danville,NA,U.S. House,NA,Democratic,Peter Welch,755
Orleans,Derby,NA,U.S. House,NA,Democratic,Peter Welch,"1,370"
Bennington,Dorset,NA,U.S. House,NA,Democratic,Peter Welch,773
Windham,Dover,NA,U.S. House,NA,Democratic,Peter Welch,424
Windham,Dummerston,NA,U.S. House,NA,Democratic,Peter Welch,922
Washington,Duxbury,NA,U.S. House,NA,Democratic,Peter Welch,523
Essex,E. Haven,NA,U.S. House,NA,Democratic,Peter Welch,77
Washington,E. Montpelier,NA,U.S. House,NA,Democratic,Peter Welch,"1,217"
Lamoille,Eden,NA,U.S. House,NA,Democratic,Peter Welch,323
Lamoille,Elmore,NA,U.S. House,NA,Democratic,Peter Welch,370
Franklin,Enosburgh,NA,U.S. House,NA,Democratic,Peter Welch,910
Chittenden,Essex,Chittenden 8-1,U.S. House,NA,Democratic,Peter Welch,"2,946"
Chittenden,Essex,Chittenden 8-2,U.S. House,NA,Democratic,Peter Welch,"3,285"
Chittenden,Essex,Chittenden 8-3,U.S. House,NA,Democratic,Peter Welch,910
Rutland,Fair Haven,NA,U.S. House,NA,Democratic,Peter Welch,708
Franklin,Fairfax,NA,U.S. House,NA,Democratic,Peter Welch,"1,373"
Franklin,Fairfield,NA,U.S. House,NA,Democratic,Peter Welch,649
Orange,Fairlee,NA,U.S. House,NA,Democratic,Peter Welch,382
Washington,Fayston,NA,U.S. House,NA,Democratic,Peter Welch,545
Addison,Ferrisburgh,NA,U.S. House,NA,Democratic,Peter Welch,"1,038"
Franklin,Fletcher,NA,U.S. House,NA,Democratic,Peter Welch,440
Franklin,Franklin,NA,U.S. House,NA,Democratic,Peter Welch,373
Franklin,Georgia,NA,U.S. House,NA,Democratic,Peter Welch,"1,347"
Orleans,Glover,NA,U.S. House,NA,Democratic,Peter Welch,408
Addison,Goshen,NA,U.S. House,NA,Democratic,Peter Welch,94
Windham,Grafton,NA,U.S. House,NA,Democratic,Peter Welch,222
Essex,Granby,NA,U.S. House,NA,Democratic,Peter Welch,24
Grand Isle,Grand Isle,NA,U.S. House,NA,Democratic,Peter Welch,815
Addison,Granville,NA,U.S. House,NA,Democratic,Peter Welch,115
Orleans,Greensboro,NA,U.S. House,NA,Democratic,Peter Welch,308
Caledonia,Groton,NA,U.S. House,NA,Democratic,Peter Welch,254
Essex,Guildhall,NA,U.S. House,NA,Democratic,Peter Welch,74
Windham,Guilford,NA,U.S. House,NA,Democratic,Peter Welch,866
Windham,Halifax,NA,U.S. House,NA,Democratic,Peter Welch,247
Addison,Hancock,NA,U.S. House,NA,Democratic,Peter Welch,111
Caledonia,Hardwick,NA,U.S. House,NA,Democratic,Peter Welch,967
Windsor,Hartford,Windsor 4-1,U.S. House,NA,Democratic,Peter Welch,716
Windsor,Hartford,Windsor 4-2,U.S. House,NA,Democratic,Peter Welch,"2,548"
Windsor,Hartland,NA,U.S. House,NA,Democratic,Peter Welch,"1,308"
Franklin,Highgate,NA,U.S. House,NA,Democratic,Peter Welch,865
Chittenden,Hinesburg,Chittenden 4-1,U.S. House,NA,Democratic,Peter Welch,14
Chittenden,Hinesburg,Chittenden 4-2,U.S. House,NA,Democratic,Peter Welch,"1,822"
Orleans,Holland,NA,U.S. House,NA,Democratic,Peter Welch,195
Rutland,Hubbardton,NA,U.S. House,NA,Democratic,Peter Welch,208
Chittenden,Huntington,NA,U.S. House,NA,Democratic,Peter Welch,888
Lamoille,Hyde Park,NA,U.S. House,NA,Democratic,Peter Welch,"1,036"
Rutland,Ira,NA,U.S. House,NA,Democratic,Peter Welch,144
Orleans,Irasburg,NA,U.S. House,NA,Democratic,Peter Welch,333
Grand Isle,Isle La Motte,NA,U.S. House,NA,Democratic,Peter Welch,192
Windham,Jamaica,NA,U.S. House,NA,Democratic,Peter Welch,290
Orleans,Jay,NA,U.S. House,NA,Democratic,Peter Welch,135
Chittenden,Jericho,NA,U.S. House,NA,Democratic,Peter Welch,"2,115"
Lamoille,Johnson,NA,U.S. House,NA,Democratic,Peter Welch,946
Rutland,Killington,NA,U.S. House,NA,Democratic,Peter Welch,406
Caledonia,Kirby,NA,U.S. House,NA,Democratic,Peter Welch,168
Bennington,Landgrove,NA,U.S. House,NA,Democratic,Peter Welch,72
Addison,Leicester,NA,U.S. House,NA,Democratic,Peter Welch,310
Essex,Lemington,NA,U.S. House,NA,Democratic,Peter Welch,28
Addison,Lincoln,NA,U.S. House,NA,Democratic,Peter Welch,598
Windham,Londonderry,NA,U.S. House,NA,Democratic,Peter Welch,535
Orleans,Lowell,NA,U.S. House,NA,Democratic,Peter Welch,228
Windsor,Ludlow,NA,U.S. House,NA,Democratic,Peter Welch,696
Essex,Lunenburg,NA,U.S. House,NA,Democratic,Peter Welch,340
Caledonia,Lyndon,NA,U.S. House,NA,Democratic,Peter Welch,"1,252"
Essex,Maidstone,NA,U.S. House,NA,Democratic,Peter Welch,54
Bennington,Manchester,NA,U.S. House,NA,Democratic,Peter Welch,"1,416"
Windham,Marlboro,NA,U.S. House,NA,Democratic,Peter Welch,451
Washington,Marshfield,NA,U.S. House,NA,Democratic,Peter Welch,566
Rutland,Mendon,NA,U.S. House,NA,Democratic,Peter Welch,361
Addison,Middlebury,NA,U.S. House,NA,Democratic,Peter Welch,"2,666"
Washington,Middlesex,NA,U.S. House,NA,Democratic,Peter Welch,787
Rutland,Middletown Springs,NA,U.S. House,NA,Democratic,Peter Welch,299
Chittenden,Milton,Chittenden 10,U.S. House,NA,Democratic,Peter Welch,"2,509"
Chittenden,Milton,Grand Isle-Chittenden,U.S. House,NA,Democratic,Peter Welch,401
Addison,Monkton,NA,U.S. House,NA,Democratic,Peter Welch,784
Franklin,Montgomery,NA,U.S. House,NA,Democratic,Peter Welch,432
Washington,Montpelier,NA,U.S. House,NA,Democratic,Peter Welch,"3,760"
Washington,Moretown,NA,U.S. House,NA,Democratic,Peter Welch,717
Orleans,Morgan,NA,U.S. House,NA,Democratic,Peter Welch,192
