county,town,precinct,office,district,party,candidate,votes
Addison,Addison,NA,President,NA,Democratic,Barack Obama,386
Orleans,Albany,NA,President,NA,Democratic,Barack Obama,290
Grand Isle,Alburgh,NA,President,NA,Democratic,Barack Obama,591
Windsor,Andover,NA,President,NA,Democratic,Barack Obama,1
Bennington,Arlington,NA,President,NA,Democratic,Barack Obama,749
Windham,Athens,NA,President,NA,Democratic,Barack Obama,84
Franklin,Bakersfield,NA,President,NA,Democratic,Barack Obama,386
Windsor,Baltimore,NA,President,NA,Democratic,Barack Obama,63
Windsor,Barnard,NA,President,NA,Democratic,Barack Obama,355
Caledonia,Barnet,NA,President,NA,Democratic,Barack Obama,582
Washington,Barre City,NA,President,NA,Democratic,Barack Obama,"1,946"
Washington,Barre Town,NA,President,NA,Democratic,Barack Obama,"2,127"
Orleans,Barton,NA,President,NA,Democratic,Barack Obama,671
Lamoille,Belvidere,NA,President,NA,Democratic,Barack Obama,82
Bennington,Bennington,Bennington 2-1,President,NA,Democratic,Barack Obama,"2,446"
Bennington,Bennington,Bennington 2-2,President,NA,Democratic,Barack Obama,"2,057"
Rutland,Benson,NA,President,NA,Democratic,Barack Obama,301
Franklin,Berkshire,NA,President,NA,Democratic,Barack Obama,342
Washington,Berlin,NA,President,NA,Democratic,Barack Obama,795
Windsor,Bethel,NA,President,NA,Democratic,Barack Obama,646
Essex,Bloomfield,NA,President,NA,Democratic,Barack Obama,58
Chittenden,Bolton,NA,President,NA,Democratic,Barack Obama,433
Orange,Bradford,NA,President,NA,Democratic,Barack Obama,754
Orange,Braintree,NA,President,NA,Democratic,Barack Obama,358
Rutland,Brandon,NA,President,NA,Democratic,Barack Obama,"1,204"
Windham,Brattleboro,Windham 2-1,President,NA,Democratic,Barack Obama,"1,580"
Windham,Brattleboro,Windham 2-2,President,NA,Democratic,Barack Obama,"1,512"
Windham,Brattleboro,Windham 2-3,President,NA,Democratic,Barack Obama,"1,529"
Windsor,Bridgewater,NA,President,NA,Democratic,Barack Obama,317
Addison,Bridport,NA,President,NA,Democratic,Barack Obama,340
Essex,Brighton,NA,President,NA,Democratic,Barack Obama,299
Addison,Bristol,NA,President,NA,Democratic,Barack Obama,"1,238"
Orange,Brookfield,NA,President,NA,Democratic,Barack Obama,456
Windham,Brookline,NA,President,NA,Democratic,Barack Obama,179
Orleans,Brownington,NA,President,NA,Democratic,Barack Obama,229
Essex,Brunswick,NA,President,NA,Democratic,Barack Obama,38
Caledonia,Burke,NA,President,NA,Democratic,Barack Obama,455
Chittenden,Burlington,Chittenden 6-1,President,NA,Democratic,Barack Obama,"3,065"
Chittenden,Burlington,Chittenden 6-2,President,NA,Democratic,Barack Obama,"1,651"
Chittenden,Burlington,Chittenden 6-3,President,NA,Democratic,Barack Obama,"2,839"
Chittenden,Burlington,Chittenden 6-4,President,NA,Democratic,Barack Obama,"2,147"
Chittenden,Burlington,Chittenden 6-5,President,NA,Democratic,Barack Obama,"3,692"
Chittenden,Burlington,Chittenden 6-6,President,NA,Democratic,Barack Obama,875
Chittenden,Burlington,Chittenden 6-7,President,NA,Democratic,Barack Obama,57
Washington,Cabot,NA,President,NA,Democratic,Barack Obama,487
Washington,Calais,NA,President,NA,Democratic,Barack Obama,753
Lamoille,Cambridge,NA,President,NA,Democratic,Barack Obama,"1,332"
